latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
43.690685,-79.41174,99,-14400,America/Toronto,GMT-4
,,,,,
time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),wind_speed_10m (km/h),surface_pressure (hPa)
2024-03-19T08:00,-1.1,63,0,17.6,996
2024-03-19T09:00,-0.3,68,0,23.5,995
2024-03-19T10:00,-0.1,68,0,24.5,994.4
2024-03-19T11:00,0.7,63,0,28.4,993.7
2024-03-19T12:00,1.4,61,0,29,992.3
2024-03-19T13:00,1.2,65,0.2,28.1,991.4
2024-03-19T14:00,1.7,65,0.2,29.3,990.4
2024-03-19T15:00,1.6,62,0.2,28.4,989.5
2024-03-19T16:00,1.4,63,0.2,26.7,988.6
2024-03-19T17:00,1.2,66,0.2,28.4,988.5
2024-03-19T18:00,1.5,67,0.2,22.9,988.6
2024-03-19T19:00,1.4,69,0,17.4,988.9
2024-03-19T20:00,1.2,72,0,14.9,988.7
2024-03-19T21:00,1.5,72,0,17.3,989.4
2024-03-19T22:00,1.5,71,0,17,989.3
2024-03-19T23:00,1.2,71,0,17.4,988.9
2024-03-20T00:00,0.4,72,0,18.4,988.8
2024-03-20T01:00,0.3,67,0,19.9,989.5
2024-03-20T02:00,-0.3,68,0,18.7,989.8
2024-03-20T03:00,-0.9,68,0,17.4,989.9
2024-03-20T04:00,-1.5,71,0,15.1,989.8
2024-03-20T05:00,-1.9,73,0,14.8,989.7
2024-03-20T06:00,-1.5,71,0,16.3,990.2
2024-03-20T07:00,-0.8,72,0.1,15.8,990.4
2024-03-20T08:00,-0.6,69,0.1,17.4,990.8
2024-03-20T09:00,-0.5,60,0,21.5,990.6
2024-03-20T10:00,0.2,51,0,25.5,990.8
2024-03-20T11:00,0.4,46,0,26.8,991.2
2024-03-20T12:00,1.2,41,0,28.3,991.8
2024-03-20T13:00,1.2,38,0,30.3,992.2
2024-03-20T14:00,1.1,37,0,32.8,992.9
2024-03-20T15:00,1.1,30,0.1,36.1,993.3
2024-03-20T16:00,0,41,0,29.8,994.3
2024-03-20T17:00,0,37,0.2,30.4,995.8
2024-03-20T18:00,-0.6,27,0,31.4,996.8
2024-03-20T19:00,-1.9,34,0,28.2,998.2
2024-03-20T20:00,-3.3,43,0,24.4,999.6
2024-03-20T21:00,-4.2,52,0,22.2,1001.7
2024-03-20T22:00,-4.6,53,0,20.9,1002.8
2024-03-20T23:00,-4.7,53,0,20.8,1003.7
2024-03-21T00:00,-4.9,53,0,20.8,1004.3
2024-03-21T01:00,-4.9,54,0,19.6,1004.8
2024-03-21T02:00,-5.1,56,0,18.8,1005.5
2024-03-21T03:00,-5,57,0,19.4,1006.2
2024-03-21T04:00,-5.1,55,0,19.9,1007
